station,lat,date,sza,T305,T310,T324,T380,tau
MaunaLoa,19.536,2018-01-01,42.5,1.112,1.066,1.013,,0.0
MaunaLoa,19.536,2018-01-17,40.2,1.095,1.051,1.0,,0.0
MaunaLoa,19.536,2018-02-02,36.2,1.383,1.277,1.156,,0.0
MaunaLoa,19.536,2018-02-18,31.1,0.169,0.177,0.188,,6.95
MaunaLoa,19.536,2018-03-06,24.9,0.531,0.71,1.135,,8.34
MaunaLoa,19.536,2018-03-22,18.7,0.176,0.177,0.171,,17.36
MaunaLoa,19.536,2018-04-07,12.5,0.463,0.485,0.47,,19.82
MaunaLoa,19.536,2018-04-23,17.4,0.938,0.96,0.952,,0.0
MaunaLoa,19.536,2018-05-12,10.3,0.229,0.251,0.277,,0.0
MaunaLoa,19.536,2018-05-28,10.1,0.923,0.89,0.939,,2.71
MaunaLoa,19.536,2018-06-13,11.3,0.802,0.851,0.772,,19.13
MaunaLoa,19.536,2018-06-29,11.3,1.012,0.99,0.932,,16.69
MaunaLoa,19.536,2018-07-15,10.8,0.321,0.339,0.407,,16.15
MaunaLoa,19.536,2018-07-31,10.8,0.226,0.237,0.245,,0.0
MaunaLoa,19.536,2018-08-16,10.4,0.09,0.097,0.113,,0.0
MaunaLoa,19.536,2018-09-01,11.6,0.934,0.962,0.958,,17.24
MaunaLoa,19.536,2018-09-17,17.6,0.96,0.982,0.97,,0.0
MaunaLoa,19.536,2018-10-03,23.8,1.047,1.007,0.954,,9.25
MaunaLoa,19.536,2018-10-19,29.8,0.291,0.308,0.279,,7.14
MaunaLoa,19.536,2018-11-04,35.1,0.139,0.162,0.228,,20.53
Tateno,36.058,2019-01-01,59.2,1.243,1.137,1.05,,0.0
Tateno,36.058,2019-01-17,56.9,1.4,1.203,1.035,,0.0
Tateno,36.058,2019-02-02,53.0,0.73,0.858,1.005,,0.0
Tateno,36.058,2019-02-18,47.9,1.318,1.162,1.022,,0.0
Tateno,36.058,2019-03-06,41.9,0.517,0.506,0.47,,4.87
Tateno,36.058,2019-03-22,35.7,1.13,1.036,0.983,,5.7
Tateno,36.058,2019-04-07,29.7,0.795,0.856,0.891,,0.0
Tateno,36.058,2019-04-23,24.2,1.046,1.011,0.935,,5.2
Tateno,36.058,2019-05-09,19.6,0.347,0.401,0.425,,8.03
Tateno,36.058,2019-05-25,16.0,0.806,0.874,0.907,,0.0
Tateno,36.058,2019-06-10,13.9,0.027,0.055,0.09,,64.38
Tateno,36.058,2019-06-26,13.3,0.902,0.888,1.008,,0.0
Tateno,36.058,2019-07-12,14.4,0.45,0.476,0.485,,14.89
Tateno,36.058,2019-07-28,17.3,1.042,0.972,0.988,,0.75
Tateno,36.058,2019-08-13,21.6,1.329,1.212,1.099,,0.96
Tateno,36.058,2019-08-29,26.9,1.169,1.047,0.952,,4.04
Tateno,36.058,2019-09-11,31.8,0.538,0.509,0.458,,8.12
Tateno,36.058,2019-09-27,38.2,1.035,0.987,0.946,,0.0
Tateno,36.058,2019-10-16,45.2,0.856,0.783,0.718,,5.12
Tateno,36.058,2019-10-31,50.3,1.245,1.069,0.956,,21.01
Uccle,50.8,2022-01-01,73.8,1.4,1.377,1.098,,0.0
Uccle,50.8,2022-01-17,71.5,0.764,0.723,0.815,,0.0
Uccle,50.8,2022-02-02,67.5,0.477,0.419,0.317,,0.0
Uccle,50.8,2022-02-18,62.3,0.501,0.462,0.375,,0.0
Uccle,50.8,2022-03-06,56.4,0.9,0.922,0.93,,0.0
Uccle,50.8,2022-03-23,49.7,1.021,1.018,0.984,,0.0
Uccle,50.8,2022-04-29,36.3,0.561,0.651,0.684,,0.0
Uccle,50.8,2022-05-15,31.9,0.51,0.583,0.591,,0.0
Uccle,50.8,2022-05-31,28.9,0.63,0.917,1.03,,0.0
Uccle,50.8,2022-06-17,27.4,0.99,1.011,0.9,,0.0
Uccle,50.8,2022-07-03,27.9,0.901,1.015,1.01,,0.0
Uccle,50.8,2022-07-19,30.0,0.854,0.915,0.878,,0.0
Uccle,50.8,2022-08-04,33.7,0.735,0.769,0.731,,0.0
Uccle,50.8,2022-08-20,38.5,0.786,0.974,0.579,,0.0
Uccle,50.8,2022-09-05,44.1,1.236,1.108,1.001,,0.0
Uccle,50.8,2022-09-21,50.2,0.811,0.73,0.625,,0.0
Uccle,50.8,2022-10-07,56.4,1.261,1.111,0.975,,0.0
Uccle,50.8,2022-10-23,62.3,0.85,0.788,0.732,,0.0
Uccle,50.8,2022-11-08,67.4,0.893,0.787,0.652,,0.0
Lauder,-45.038,2018-01-01,22.0,0.866,0.928,0.967,0.979,0.0
Lauder,-45.038,2018-01-19,24.7,1.099,1.066,1.017,1.018,0.0
Lauder,-45.038,2018-02-06,29.4,0.441,0.482,0.491,0.4,0.0
Lauder,-45.038,2018-02-24,35.5,1.16,1.094,1.045,1.053,0.0
Lauder,-45.038,2018-03-14,42.4,1.206,1.083,0.995,0.976,0.0
Lauder,-45.038,2018-04-01,49.5,1.207,1.062,0.966,0.933,0.0
Lauder,-45.038,2018-04-19,56.1,0.58,0.548,0.503,0.409,0.81
Lauder,-45.038,2018-05-07,61.8,0.931,0.896,0.861,0.849,8.13
Lauder,-45.038,2018-05-25,66.0,0.362,0.48,0.611,0.531,5.36
Lauder,-45.038,2018-06-12,68.2,0.758,0.839,0.884,0.827,1.52
Lauder,-45.038,2018-06-30,68.2,1.002,0.785,0.578,0.478,6.22
Lauder,-45.038,2018-07-18,66.1,0.849,0.924,0.967,0.967,0.0
Lauder,-45.038,2018-08-05,62.1,1.001,0.947,0.876,0.859,8.7
Lauder,-45.038,2018-08-23,56.6,0.519,0.635,0.764,0.747,1.62
Lauder,-45.038,2018-09-10,50.1,0.706,0.887,1.109,1.227,18.72
Lauder,-45.038,2018-09-28,43.1,0.877,0.926,0.97,0.97,0.0
Lauder,-45.038,2018-10-16,36.2,1.016,0.991,0.96,0.959,1.15
Lauder,-45.038,2018-11-03,30.1,0.63,0.682,0.731,0.708,0.0
Lauder,-45.038,2018-11-21,25.2,0.511,0.589,0.65,0.617,26.08
Lauder,-45.038,2018-12-09,22.3,0.105,0.121,0.127,0.114,30.07
