station,lat,date,sza,dt_min,T305,T310,T324,T380,tau
MaunaLoa,19.536,2017-01-01,45.5,8.0,1.208,1.232,1.199,,0.0
MaunaLoa,19.536,2017-01-17,42.7,7.0,1.212,1.114,1.031,,0.0
MaunaLoa,19.536,2017-02-02,38.3,3.0,1.306,1.182,1.086,,0.0
MaunaLoa,19.536,2017-02-18,33.9,2.0,0.505,0.448,0.359,,5.3
MaunaLoa,19.536,2017-03-06,28.1,4.0,1.244,1.005,1.093,,0.0
MaunaLoa,19.536,2017-03-22,23.3,5.0,1.062,1.033,0.989,,0.0
MaunaLoa,19.536,2017-04-07,20.4,0.0,1.055,1.035,0.991,,0.0
MaunaLoa,19.536,2017-04-23,19.0,4.0,0.862,0.94,0.941,,0.0
MaunaLoa,19.536,2017-05-09,17.3,0.0,0.923,1.022,1.079,,0.0
MaunaLoa,19.536,2017-05-25,16.0,4.0,0.844,0.897,1.075,,0.0
MaunaLoa,19.536,2017-06-10,14.6,4.0,0.923,0.974,0.991,,0.0
MaunaLoa,19.536,2017-06-26,13.4,5.0,0.983,0.987,0.954,,0.0
MaunaLoa,19.536,2017-07-14,26.2,9.0,0.221,0.231,0.235,,29.77
MaunaLoa,19.536,2017-07-30,25.4,5.0,0.976,0.982,0.965,,12.22
MaunaLoa,19.536,2017-08-15,26.3,3.0,1.057,1.049,1.05,,17.55
MaunaLoa,19.536,2017-08-31,30.3,8.0,0.961,0.868,0.657,,5.97
MaunaLoa,19.536,2017-09-16,32.1,4.0,1.056,1.031,0.997,,2.31
MaunaLoa,19.536,2017-10-02,37.9,2.0,0.132,0.13,0.126,,15.06
MaunaLoa,19.536,2017-10-18,43.3,5.0,1.014,1.01,1.019,,1.96
MaunaLoa,19.536,2017-11-21,48.3,0.0,0.953,0.988,1.028,,0.0
MaunaLoa,19.536,2017-12-07,49.8,1.0,0.991,0.983,0.999,,0.0
MaunaLoa,19.536,2017-12-23,49.4,1.0,1.009,1.003,1.021,,0.0
MaunaLoa,19.536,2018-01-08,47.4,1.0,1.123,1.073,1.027,,0.0
MaunaLoa,19.536,2018-01-24,44.1,1.0,0.223,0.235,0.282,,2.51
MaunaLoa,19.536,2018-02-09,39.9,1.0,1.019,1.017,1.007,,0.0
MaunaLoa,19.536,2018-02-25,35.5,1.0,0.201,0.242,0.278,,19.65
MaunaLoa,19.536,2018-03-13,31.3,1.0,0.266,0.27,0.236,,10.77
MaunaLoa,19.536,2018-03-29,28.1,0.0,0.355,0.35,0.404,,0.0
MaunaLoa,19.536,2018-04-14,25.9,1.0,0.259,0.265,0.258,,72.55
MaunaLoa,19.536,2018-05-01,21.7,3.0,0.291,0.308,0.303,,34.03
MaunaLoa,19.536,2018-05-19,18.7,2.0,0.849,0.92,0.963,,0.0
Tateno,36.058,2019-01-01,61.9,20.0,1.4,1.236,1.053,,0.0
Tateno,36.058,2019-01-17,59.3,20.0,1.4,1.316,1.018,,0.0
Tateno,36.058,2019-02-02,55.3,20.0,0.886,0.952,1.016,,0.0
Tateno,36.058,2019-02-18,50.3,20.0,1.359,1.158,0.992,,0.0
Tateno,36.058,2019-03-06,44.9,20.0,0.741,0.691,0.619,,4.87
Tateno,36.058,2019-03-22,39.5,25.0,1.141,1.024,0.88,,5.7
Tateno,36.058,2019-04-07,34.4,25.0,0.731,0.796,0.848,,0.0
Tateno,36.058,2019-04-23,30.0,20.0,0.911,0.921,0.934,,5.2
Tateno,36.058,2019-05-09,26.4,20.0,0.46,0.526,0.561,,8.03
Tateno,36.058,2019-05-25,23.8,20.0,0.765,0.85,0.91,,0.0
Tateno,36.058,2019-06-10,21.9,20.0,0.028,0.056,0.113,,64.38
Tateno,36.058,2019-06-26,21.1,20.0,0.879,0.958,0.998,,0.0
Tateno,36.058,2019-07-12,21.5,20.0,0.289,0.346,0.393,,14.89
Tateno,36.058,2019-07-28,23.6,20.0,1.138,1.093,1.039,,0.75
Tateno,36.058,2019-08-13,27.2,20.0,1.173,1.144,1.117,,0.96
Tateno,36.058,2019-08-29,32.1,20.0,1.146,1.07,1.018,,4.04
Tateno,36.058,2019-09-11,36.8,10.0,0.828,0.822,0.82,,8.12
Tateno,36.058,2019-09-27,43.0,10.0,0.919,0.79,0.872,,0.0
Tateno,36.058,2019-10-16,50.1,20.0,0.841,0.763,0.684,,5.12
Tateno,36.058,2019-10-31,55.1,20.0,0.691,0.599,0.556,,21.01
Tateno,36.058,2019-11-16,59.2,20.0,1.069,1.018,0.994,,0.0
Tateno,36.058,2019-12-02,61.9,20.0,0.273,0.257,0.234,,91.81
Tateno,36.058,2019-12-18,62.7,20.0,0.62,0.602,0.567,,37.5
Tateno,36.058,2020-01-03,61.7,20.0,0.718,0.86,1.015,,0.0
Tateno,36.058,2020-01-19,59.0,20.0,1.054,1.058,1.045,,0.0
Tateno,36.058,2020-02-04,54.8,20.0,0.951,0.811,0.696,,9.96
Tateno,36.058,2020-02-20,49.8,20.0,0.418,0.385,0.347,,5.39
Tateno,36.058,2020-03-07,44.3,20.0,0.32,0.386,0.439,,37.45
Tateno,36.058,2020-03-23,38.9,20.0,0.432,0.497,0.541,,11.48
Tateno,36.058,2020-04-08,33.9,20.0,0.864,0.922,0.957,,19.95
Tateno,36.058,2020-04-24,29.6,20.0,0.256,0.289,0.3,,23.86
Tateno,36.058,2020-05-10,26.1,20.0,0.303,0.304,0.313,,23.4
Uccle,50.8,2022-01-01,78.0,10.0,1.4,1.4,0.986,,1.06
Uccle,50.8,2022-01-17,74.1,9.0,1.102,1.158,1.076,,1.91
Uccle,50.8,2022-02-02,71.2,9.0,0.418,0.381,0.368,,38.35
Uccle,50.8,2022-02-18,66.2,9.0,0.431,0.417,0.352,,27.08
Uccle,50.8,2022-03-06,59.2,12.0,0.903,0.969,0.975,,1.2
Uccle,50.8,2022-03-23,51.0,9.0,1.086,1.068,1.016,,0.0
Uccle,50.8,2022-04-29,38.7,4.0,0.621,0.707,0.758,,4.07
Uccle,50.8,2022-05-15,34.5,0.0,0.728,0.826,0.86,,0.78
Uccle,50.8,2022-05-31,31.3,3.0,0.516,0.575,0.588,,8.53
Uccle,50.8,2022-06-17,32.9,8.0,1.07,1.047,0.955,,0.86
Uccle,50.8,2022-07-03,32.8,5.0,0.65,0.731,0.71,,27.39
Uccle,50.8,2022-07-19,34.5,0.0,0.937,0.97,0.947,,0.0
Uccle,50.8,2022-08-04,37.9,0.0,0.807,0.888,0.819,,1.82
Uccle,50.8,2022-08-20,42.4,3.0,1.106,1.083,1.049,,0.0
Uccle,50.8,2022-09-05,48.0,7.0,0.715,0.659,0.684,,5.67
Uccle,50.8,2022-09-21,54.2,12.0,1.147,0.943,0.983,,9.02
Uccle,50.8,2022-10-07,58.8,7.0,1.32,1.149,1.064,,0.0
Uccle,50.8,2022-10-23,64.8,3.0,0.993,0.924,0.849,,2.22
Uccle,50.8,2022-11-08,69.7,1.0,1.178,1.09,0.895,,1.94
Uccle,50.8,2022-11-24,73.4,6.0,0.817,0.963,1.045,,2.62
Uccle,50.8,2022-12-10,75.1,4.0,0.293,0.338,0.487,,14.68
Uccle,50.8,2022-12-26,74.8,5.0,0.236,0.38,0.676,,6.96
Uccle,50.8,2023-01-11,72.9,1.0,0.789,0.916,0.949,,1.51
Uccle,50.8,2023-01-27,69.4,3.0,0.237,0.277,0.287,,47.36
Uccle,50.8,2023-02-12,68.5,3.0,1.202,0.792,0.485,,0.0
Uccle,50.8,2023-03-01,59.3,3.0,0.932,0.957,0.962,,0.0
Uccle,50.8,2023-03-17,52.5,7.0,0.946,0.885,0.827,,2.13
Uccle,50.8,2023-04-02,46.2,2.0,0.327,0.358,0.356,,32.85
Uccle,50.8,2023-04-18,46.9,2.0,0.727,0.861,0.95,,0.37
Uccle,50.8,2023-05-04,39.8,10.0,0.628,0.665,0.761,,2.23
Uccle,50.8,2023-05-20,35.9,2.0,0.841,0.943,0.987,,2.83
Lauder,-45.038,2016-01-01,35.0,12.0,1.035,1.01,1.0,1.008,0.0
Lauder,-45.038,2016-02-04,38.8,0.0,0.136,0.144,0.142,0.127,128.39
Lauder,-45.038,2016-03-09,50.0,19.0,1.046,0.895,0.808,0.808,1.08
Lauder,-45.038,2016-04-12,60.0,4.0,0.895,0.921,0.978,0.991,0.0
Lauder,-45.038,2016-06-19,70.7,10.0,0.557,0.616,0.616,0.536,5.32
Lauder,-45.038,2016-07-23,67.1,5.0,1.104,0.94,0.722,0.573,0.85
Lauder,-45.038,2016-08-26,65.0,6.0,0.25,0.231,0.202,0.167,22.93
Lauder,-45.038,2016-09-29,55.0,0.0,0.698,0.671,0.628,0.662,51.96
Lauder,-45.038,2016-11-02,45.0,3.0,0.726,0.751,0.772,0.746,2.54
Lauder,-45.038,2016-12-06,35.0,2.0,0.553,0.557,0.526,0.397,0.0
Lauder,-45.038,2017-01-09,30.0,13.0,0.381,0.442,0.471,0.651,14.69
Lauder,-45.038,2017-02-12,35.0,12.0,0.239,0.247,0.243,0.22,45.92
Lauder,-45.038,2017-03-18,46.8,10.0,1.272,1.119,1.038,1.035,0.0
Lauder,-45.038,2017-04-21,70.0,5.0,0.79,0.893,0.963,0.981,0.32
Lauder,-45.038,2017-05-25,80.0,36.0,1.4,1.4,0.93,0.738,0.0
Lauder,-45.038,2017-06-28,75.0,10.0,1.4,1.4,1.02,0.897,0.0
Lauder,-45.038,2017-08-01,70.0,1.0,0.653,0.829,1.01,1.041,0.0
Lauder,-45.038,2017-09-04,60.0,7.0,0.738,0.86,0.987,0.996,0.0
Lauder,-45.038,2017-10-08,50.0,17.0,0.795,0.845,0.792,0.842,0.0
Lauder,-45.038,2017-11-11,35.0,12.0,0.873,0.944,1.007,1.015,0.0
Lauder,-45.038,2017-12-15,30.0,7.0,0.138,0.159,0.168,0.153,34.75
Lauder,-45.038,2018-01-18,28.2,5.0,0.247,0.276,0.289,0.265,31.81
Lauder,-45.038,2018-02-21,45.0,15.0,0.376,0.381,0.384,0.339,13.23
Lauder,-45.038,2018-03-27,55.0,20.0,1.4,1.217,1.101,1.106,0.94
Lauder,-45.038,2018-04-30,70.0,19.0,0.747,0.801,0.796,0.647,2.42
Lauder,-45.038,2018-06-03,75.0,19.0,0.316,0.382,0.458,0.391,10.92
Lauder,-45.038,2018-07-07,75.0,33.0,1.064,1.058,1.01,1.009,0.0
Lauder,-45.038,2018-08-10,65.0,9.0,1.324,1.171,1.008,0.985,0.0
Lauder,-45.038,2018-09-13,52.3,10.0,0.597,0.591,0.582,0.524,5.39
Lauder,-45.038,2018-10-17,55.0,6.0,0.919,0.943,0.984,1.011,3.35
Lauder,-45.038,2018-11-20,45.0,7.0,0.161,0.19,0.216,0.195,0.0
